Dogs Cats Cows Country Smoker Lions Lots
1 t b x t t a
2 t a y t t b
2 t a y t t c
2 t a y t t d
2 t a y t t d
2 t a y t t d
2 t a y t t d
3 f b x f f e
3 f b x f f f
3 f b x f f f
3 f b x f f f
3 f b x f f f
3 f b x f f g
3 f b x f f h
3 f b x f f i
3 f b x f f j
3 f b x f f h
3 f b x f f h
3 f b x f f i
3 f b x f f i
3 f b x f f k
4 f a z f f l
4 f a z f f m
3 f b x f f k
3 f b x f f k
4 f a z f f n
3 f b x f f o
3 f b x f f o
3 f b x f f o
3 f b x f f p
3 f b x f f q
4 f a z f f r
4 f a z f f r
4 f a z f f r
4 f a z f f s
4 f a z f f t
4 f a z f f u
